timestamp,git_commit,tag,device,package,speed,luts_used,luts_total,luts_pct,ffs_used,ffs_total,ffs_pct,bram_used,bram_total,bram_pct,fmax_mhz,target_mhz,timing_pass,source_log,notes
2026-07-21T14:59:27+00:00,8b987e8,baseline,LFE5U-12F,BG256,8,2351,24288,9.68,895,24288,3.68,,,,95.07,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,wrapper core-only
2026-07-21T15:01:00+00:00,8b987e8,baseline-bram,LFE5U-12F,BG256,8,2351,24288,9.68,895,24288,3.68,,,,95.07,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,bram size tracking enabled
2026-07-21T15:01:14+00:00,8b987e8,baseline-bram-fixed,LFE5U-12F,BG256,8,2351,24288,9.68,895,24288,3.68,0,56,0.00,95.07,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,dp16kd parser fixed
2026-07-21T15:01:56+00:00,8b987e8,smoke-de,LFE5U-12F,BG256,8,2351,24288,9.68,895,24288,3.68,0,56,0.00,95.07,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,runner wiring test
2026-07-21T15:02:57+00:00,8b987e8,dev-py-smoke,LFE5U-12F,BG256,8,2351,24288,9.68,895,24288,3.68,0,56,0.00,95.07,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,renamed runner script
2026-07-21T15:08:08+00:00,8b987e8,runner-logscan-smoke,LFE5U-12F,BG256,8,2351,24288,9.68,895,24288,3.68,0,56,0.00,95.07,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,full runner with log scan
2026-07-21T16:38:10+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_clint_uart_t32,LFE5U-12F,BG256,8,9989,24288,41.13,4368,24288,17.98,8,56,14.29,68.01,25.00,yes,riscv-64/out/sim/microsoc_uart_timer_nextpnr.log,MicroSoc x64 + CLINT + UART; threads=32
2026-07-21T16:39:08+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_t32,LFE5U-12F,BG256,8,8414,24288,34.64,3215,24288,13.24,2,56,3.57,54.56,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + 4KiB I-cache; threads=32
2026-07-21T16:40:16+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_t32,LFE5U-12F,BG256,8,9900,24288,40.76,4120,24288,16.96,10,56,17.86,89.93,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + 4KiB I-cache + 4KiB D-cache; threads=32
2026-07-21T16:41:41+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_t32,LFE5U-12F,BG256,8,10151,24288,41.79,4684,24288,19.29,14,56,25.00,72.24,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + i4k + d4k + btb + gshare + ras; threads=32
2026-07-21T16:44:10+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_clint_uart_t32,LFE5U-12F,BG256,8,9989,24288,41.13,4368,24288,17.98,8,56,14.29,68.01,25.00,yes,riscv-64/out/sim/microsoc_uart_timer_nextpnr.log,MicroSoc x64 + CLINT + UART; threads=32
2026-07-21T16:45:11+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_t32,LFE5U-12F,BG256,8,8414,24288,34.64,3215,24288,13.24,2,56,3.57,54.56,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + 4KiB I-cache; threads=32
2026-07-21T16:46:23+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_t32,LFE5U-12F,BG256,8,9900,24288,40.76,4120,24288,16.96,10,56,17.86,89.93,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + 4KiB I-cache + 4KiB D-cache; threads=32
2026-07-21T16:47:42+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_t32,LFE5U-12F,BG256,8,10151,24288,41.79,4684,24288,19.29,14,56,25.00,72.24,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + i4k + d4k + btb + gshare + ras; threads=32
2026-07-21T16:49:52+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_dual_t32,LFE5U-12F,BG256,8,15928,24288,65.58,6311,24288,25.98,16,56,28.57,57.00,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + i4k + d4k + bpred + dual-issue; threads=32
2026-07-21T16:53:25+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_dual_clint_uart_t32,LFE5U-12F,BG256,8,18174,24288,74.83,7743,24288,31.88,24,56,42.86,64.13,25.00,yes,riscv-64/out/sim/microsoc_uart_cumulative_nextpnr.log,microsoc x64 + core stack + clint + uart; threads=32
